name,iso,fips,woeid
Basse-Kotto,CAF,CT02,2345090
Lobaye,CAF,CT07,2345095
West Darfur,SDN,SU47,20069894
Ouest,CMR,CM08,2345036
Agadez,NER,NG01,2346324
Mambéré-Kadéï,CAF,CT04,2345092
Sangha-Mbaéré,CAF,CT16,2345103
Sud,CMR,CM14,2345042
Nana-Mambéré,CAF,CT09,2345097
Ouham-Pendé,CAF,CT13,2345100
Bamingui-Bangoran,CAF,CT01,2345089
Nana-Grébizi,CAF,CT15,2345102
Kémo,CAF,CT06,2345094
Ouham,CAF,CT12,2345099
South Darfur,SDN,SU49,20069893
Emilia-Romagna,ITA,IT05,7153334
Liguria,ITA,IT12,7153337
Sardegna,ITA,IT14,7153343
Toscana,ITA,IT16,7153345
Basilicata,ITA,IT02,7153331
Calabria,ITA,IT03,7153332
Campania,ITA,IT04,7153333
Molise,ITA,IT11,7153340
Apulia,ITA,IT13,7153342
Sicily,ITA,IT15,7153344
Abruzzo,ITA,IT01,7153350
Lazio,ITA,IT07,7153336
Marche,ITA,IT10,7153339
Umbria,ITA,IT18,7153347
Ðakovica,KO-,AL47,29389201
Grad Beograd,SRB,RB02,29389217
Kolubarski,SRB,BK00,29389214
Macvanski,SRB,BK00,29389214
Kosovska Mitrovica,KO-,SR01,29389201
Tafilah,JOR,JO12,2347562
Ma`an,JOR,JO19,2347580
Ajlun,JOR,JO20,20070293
Balqa,JOR,JO02,2347562
Al Hudud ash Shamaliyah,SAU,SA15,2346961
Haut-Mbomou,CAF,CT05,2345093
Mbomou,CAF,CT08,2345096
North Darfur,SDN,SU55,20069895
Al Bahah,SAU,SA02,2346949
`Asir,SAU,SA11,2346955
Jizan,SAU,SA17,2346956
Makkah,SAU,SA14,2346959
Rift Valley,KEN,KE08,2345943
North-Eastern,KEN,KE06,2345941
Drenthe,NLD,NL01,2346373
Friesland,NLD,NL02,2346374
Gelderland,NLD,NL03,2346375
Limburg,NLD,NL05,2346377
Overijssel,NLD,NL15,2346380
Troms,NOR,NO18,2346401
Flevoland,NLD,NL16,2346384
Zeeland,NLD,NL10,2346382
Piemonte,ITA,IT12,7153341
Valle d'Aosta,ITA,IT19,7153348
Lombardia,ITA,IT09,7153338
Møre og Romsdal,NOR,NO08,2346391
Sør-Trøndelag,NOR,NO16,2346399
Aust-Agder,NOR,NO02,2346386
Hordaland,NOR,NO07,2346390
Rogaland,NOR,NO14,2346397
Sogn og Fjordane,NOR,NO15,2346398
Vest-Agder,NOR,NO19,2346402
Akershus,NOR,NO01,2346385
Buskerud,NOR,NO04,2346387
Hedmark,NOR,NO06,2346389
Oppland,NOR,NO11,2346394
Telemark,NOR,NO17,2346400
Vestfold,NOR,NO20,2346403
Østfold,NOR,NO13,2346396
Nord-Trøndelag,NOR,NO10,2346393
Gornja Radgona,SVN,SI29,55848348
Gornji Petrovci,SVN,SI31,55848370
Gornji Petrovci,SVN,SI97,55848370
Klaipedos,LTU,LH58,55848085
Dol pri Ljubljani,SVN,SI22,55848364
Dravograd,SVN,SI25,55848347
Duplek,SVN,SI26,55848367
Gornji Grad,SVN,SI30,55848369
Hrastnik,SVN,SI34,55848397
Ivancna Gorica,SVN,SI39,55848349
Kungota,SVN,SI55,55848374
Race-Fram,SVN,SI98,55848367
Rogaka Slatina,SVN,SIA7,55848390
Slovenske Konjice,SVN,SIC4,55848389
